transaction_id,user_id,timestamp,amount,merchant_id,merchant_category,payment_method,location,device_info,features,label
txn_000000,user_097,2026-02-04T17:48:50Z,489.43,merchant_4269,grocery,credit,"{'city': 'Philadelphia', 'state': 'PA', 'country': 'US', 'zip_code': '19101'}","{'device_id': 'device_231', 'ip_address': '26.199.244.61', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36'}","{'hour_of_day': 17, 'day_of_week': 2, 'is_weekend': False, 'transaction_count_24h': 8, 'avg_amount_30d': 181.17, 'risk_score': 0.392}",0
txn_000001,user_010,2026-01-26T04:27:50Z,4027.61,merchant_3333,cash_advance,mobile,"{'city': 'Houston', 'state': 'TX', 'country': 'US', 'zip_code': '77001'}","{'device_id': 'device_565', 'ip_address': '42.5.118.163', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36'}","{'hour_of_day': 4, 'day_of_week': 0, 'is_weekend': False, 'transaction_count_24h': 1, 'avg_amount_30d': 257.41, 'risk_score': 1.0}",0
txn_000002,user_044,2026-01-22T06:01:50Z,8.36,merchant_6597,clothing,online,"{'city': 'Philadelphia', 'state': 'PA', 'country': 'US', 'zip_code': '19101'}","{'device_id': 'device_111', 'ip_address': '116.215.189.25', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36'}","{'hour_of_day': 6, 'day_of_week': 3, 'is_weekend': False, 'transaction_count_24h': 6, 'avg_amount_30d': 148.74, 'risk_score': 0.422}",0
txn_000003,user_095,2026-01-21T08:17:50Z,342.22,merchant_7052,pharmacy,credit,"{'city': 'Houston', 'state': 'TX', 'country': 'US', 'zip_code': '77001'}","{'device_id': 'device_931', 'ip_address': '7.232.13.179', 'user_agent': 'Chrome/91.0'}","{'hour_of_day': 8, 'day_of_week': 2, 'is_weekend': False, 'transaction_count_24h': 3, 'avg_amount_30d': 238.44, 'risk_score': 0.5}",0
txn_000004,user_028,2026-02-06T11:09:50Z,330.04,merchant_5796,online_retail,mobile,"{'city': 'San Jose', 'state': 'CA', 'country': 'US', 'zip_code': '95101'}","{'device_id': 'device_123', 'ip_address': '94.139.114.154', 'user_agent': 'Safari/537.36'}","{'hour_of_day': 11, 'day_of_week': 4, 'is_weekend': False, 'transaction_count_24h': 7, 'avg_amount_30d': 269.63, 'risk_score': 0.25}",0
txn_000005,user_009,2026-01-22T21:57:50Z,1728.3,merchant_5675,electronics,credit,"{'city': 'San Jose', 'state': 'CA', 'country': 'US', 'zip_code': '95101'}","{'device_id': 'device_552', 'ip_address': '230.161.254.193', 'user_agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36'}","{'hour_of_day': 21, 'day_of_week': 3, 'is_weekend': False, 'transaction_count_24h': 5, 'avg_amount_30d': 245.44, 'risk_score': 0.856}",0
txn_000006,user_071,2026-02-16T17:21:50Z,84.23,merchant_3630,gas_station,online,"{'city': 'Dallas', 'state': 'TX', 'country': 'US', 'zip_code': '75201'}","{'device_id': 'device_342', 'ip_address': '37.83.100.210', 'user_agent': 'Safari/537.36'}","{'hour_of_day': 17, 'day_of_week': 0, 'is_weekend': False, 'transaction_count_24h': 3, 'avg_amount_30d': 193.25, 'risk_score': 0.309}",0
txn_000007,user_063,2026-02-08T21:48:50Z,410.07,merchant_8801,clothing,mobile,"{'city': 'Phoenix', 'state': 'AZ', 'country': 'US', 'zip_code': '85001'}","{'device_id': 'device_934', 'ip_address': '20.245.186.169', 'user_agent': 'Chrome/91.0'}","{'hour_of_day': 21, 'day_of_week': 6, 'is_weekend': True, 'transaction_count_24h': 2, 'avg_amount_30d': 296.47, 'risk_score': 0.947}",0
txn_000008,user_015,2026-02-16T00:44:50Z,3721.74,merchant_6279,cash_advance,debit,"{'city': 'Dallas', 'state': 'TX', 'country': 'US', 'zip_code': '75201'}","{'device_id': 'device_324', 'ip_address': '250.191.171.44', 'user_agent': 'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36'}","{'hour_of_day': 0, 'day_of_week': 0, 'is_weekend': False, 'transaction_count_24h': 10, 'avg_amount_30d': 217.29, 'risk_score': 1.0}",0
txn_000009,user_005,2026-02-03T23:36:50Z,443.55,merchant_9286,clothing,online,"{'city': 'New York', 'state': 'NY', 'country': 'US', 'zip_code': '10001'}","{'device_id': 'device_438', 'ip_address': '66.159.227.205', 'user_agent': 'Chrome/91.0'}","{'hour_of_day': 23, 'day_of_week': 1, 'is_weekend': False, 'transaction_count_24h': 4, 'avg_amount_30d': 182.78, 'risk_score': 1.0}",0
txn_000010,user_024,2026-02-09T10:46:50Z,290.84,merchant_8034,clothing,online,"{'city': 'San Antonio', 'state': 'TX', 'country': 'US', 'zip_code': '78201'}","{'device_id': 'device_292', 'ip_address': '195.2.234.196', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36'}","{'hour_of_day': 10, 'day_of_week': 0, 'is_weekend': False, 'transaction_count_24h': 1, 'avg_amount_30d': 168.24, 'risk_score': 0.563}",0
